id,title,category,sub_category,color,gender,usage
2288,nike women black tshirt,apparel,topwear,black,women,sports
23876,adidas men blue sweatshirt,apparel,topwear,blue,men,casual
18237,manchester united men solid red tshirt,apparel,topwear,red,men,casual
54118,rocia women black flats,footwear,shoes,black,women,casual
2872,catwalk women leather flats,footwear,shoes,brown,women,casual
49653,mineral women green top,apparel,topwear,green,women,casual
8574,crocs dora boots pink sandals,footwear,sandal,pink,women,casual
16957,image men sunglasses,accessories,eyewear,black,men,casual
19123,lotto men xl water man silver slippers,footwear,flip flops,silver,men,casual
13419,united colors of benetton men solid pink polo tshirts,apparel,topwear,pink,men,casual
17885,levis men comfort style grey innerwear vest,apparel,innerwear,grey,men,casual
43369,reebok men black possession flip flops,footwear,flip flops,black,men,casual
48781,lucera women silver pendant,accessories,jewellery,silver,women,casual
44970,maxima men white dial analog chronograph watch,accessories,watches,white,men,casual
56489,streetwear ash nail polish  31,personal care,nails,bronze,women,general
39524,peter england unisex orange sleeve bag,accessories,bags,orange,unisex,casual
33822,puma men axis white  grey sports shoes,footwear,shoes,white,men,sports
58513,tonga women maroon top,apparel,topwear,off white,women,casual
25947,femella women brown scarf,accessories,scarves,brown,women,casual
52029,just natural unisex charcoal rain jacket,apparel,topwear,coffee brown,unisex,general
5865,adidas mens twelve faster tshirt,apparel,topwear,black,men,casual
39716,arrow woman women blue dress,apparel,dress,blue,women,casual
25349,levis men red brief,apparel,innerwear,red,men,casual
11940,ganuchi men casual black sandals,footwear,sandal,black,men,casual
55802,sdl by sweet dreams women green printed night suit s113124,apparel,loungewear and nightwear,white,women,casual
29584,indigo nation men printed black tshirt,apparel,topwear,black,men,casual
43967,dkny women red delicious perfume,personal care,fragrance,red,women,casual
28456,urban yoga women blue skirt with leggings,apparel,bottomwear,blue,women,sports
34009,gini and jony girls black top,apparel,topwear,black,girls,casual
19311,nike men air rift mtr white casual shoe,footwear,shoes,white,men,casual
42089,adidas men white corona sports shoes,footwear,shoes,white,men,sports
22950,fastrack unisex black dial watch 9915pp13,accessories,watches,black,unisex,casual
49461,vans men blue era scilla plaid shoes,footwear,shoes,blue,men,casual
8746,crocs kids navy blue clogs,footwear,flip flops,navy blue,unisex,casual
9694,classic polo men vulcan white polo tshirts,apparel,topwear,white,men,casual
23882,fila men destiny grey sports shoes,footwear,shoes,grey,men,sports
34835,adidas men blue chill sports shoes,footwear,shoes,blue,men,sports
15984,turtle check men yellow shirt,apparel,topwear,yellow,men,casual
41268,arrow men black wallet,accessories,wallets,black,men,casual
11518,catwalk women gun metal grey heels,footwear,shoes,grey,women,casual
14856,united colors of benetton women solid beige wallets,accessories,wallets,beige,women,casual
33648,lotto men ridge brown sandals,footwear,sandal,brown,men,casual
59297,us polo assn men white  navy blue shirt,apparel,topwear,white,men,casual
28032,jockey elance men bikini white brief 1005,apparel,innerwear,white,men,casual
27846,scullers for her charcoal blazer,apparel,topwear,charcoal,women,formal
26994,jealous 21 women black jeans,apparel,bottomwear,black,women,casual
49839,ipanema women red flip flops,footwear,flip flops,red,women,casual
31923,fabindia women blue silk sling bag,accessories,bags,blue,women,casual
2618,carlton london women silver wedge sandal,footwear,shoes,silver,women,casual
54588,sushilas women printed green kurta,apparel,topwear,green,women,ethnic
49005,lucera women silver ring,accessories,jewellery,silver,women,casual
8322,doodle boys route 66 biker blue teen kidswear,apparel,topwear,blue,boys,casual
13841,adidas unisex three small dials white watches,accessories,watches,white,unisex,casual
28200,rayban men active lifestyle copper sunglasses,accessories,eyewear,copper,men,casual
12993,adidas kids adispeed black sports shoes,footwear,shoes,black,unisex,sports
7158,scullers men  green check shirt,apparel,topwear,green,men,casual
18495,puma men fashion cat white slipper,footwear,sandal,white,men,casual
8110,fastrack men economy 2 analg black watch,accessories,watches,black,men,casual
19547,united colors of benetton men solid blue sweatshirt,apparel,topwear,blue,men,casual
7964,puma mens large logo graphic black tshirt,apparel,topwear,black,men,sports
36934,giorgio armani women idole perfume,personal care,fragrance,gold,women,casual
39140,aneri women black  maroon salwar suit,apparel,apparel set,black,women,ethnic
20851,spice art women ribbon embroidery red clutch,accessories,bags,red,women,casual
41866,estd 1977 men beige  green sandals,footwear,sandal,beige,men,casual
58177,rocky s women brown handbag,accessories,bags,brown,women,casual
44528,coolers men black sandals,footwear,sandal,black,men,casual
16392,levis men check red shirts,apparel,topwear,red,men,casual
51455,tonga women pink printed shrug,apparel,topwear,pink,women,casual
50587,chromozome men grey briefs,apparel,innerwear,grey,men,casual
17240,us polo assn men stripes black  polo tshirt,apparel,topwear,black,men,casual
47530,portia women coppertoned  brown sandals,footwear,shoes,copper,women,casual
6617,spykar men black and white check shirt,apparel,topwear,black,men,casual
12732,nike unisex swoosh black backpack,accessories,bags,black,unisex,sports
3365,myntra mens brain black tshirt,apparel,topwear,black,men,casual
42042,nike men air relentless 2 msl white sports shoes,footwear,shoes,white,men,sports
23849,adidas men black anzo breeze casual shoes,footwear,shoes,black,men,casual
43190,fastrack women white dial watch,accessories,watches,white,women,casual
48578,revv men steel bracelet,accessories,jewellery,steel,men,casual
30462,lovable women all day long black bra,apparel,innerwear,black,women,casual
18208,manchester united men solid white cap,accessories,headwear,white,men,casual
54127,rocia women black heels,footwear,shoes,black,women,casual
10065,puma men ducati logo tee yellow tshirts,apparel,topwear,yellow,men,casual
24250,numero uno men white casual shoes,footwear,shoes,white,men,casual
32335,qq men silvertoned dial analogue watch q252j404y,accessories,watches,silver,men,casual
25382,levis men white innerwear vest,apparel,innerwear,white,men,casual
56670,maxima men black dial watch,accessories,watches,black,men,casual
5092,wrangler mens minstrel shoulder loop purple tshirt,apparel,topwear,purple,men,casual
10859,wrangler men furious rides navy blue tshirts,apparel,topwear,navy blue,men,casual
59638,fnf green wedding collection sari,apparel,saree,green,women,ethnic
15517,rockport men llandro red casual shoes,footwear,shoes,red,men,casual
4140,skechers women green shoe,footwear,shoes,green,women,casual
36795,maxima men ssteele silver dial watch,accessories,watches,silver,men,casual
40527,titan men gold dial watch,accessories,watches,gold,men,casual
10257,john miller men solid type black trousers,apparel,bottomwear,black,men,formal
24062,locomotive men navy blue printed tshirt,apparel,topwear,navy blue,men,casual
45869,maxima men brown dial watch,accessories,watches,brown,men,casual
11385,united colors of benetton women light winter black sweatshirts,apparel,topwear,black,women,casual
53130,catwalk women brown sandals,footwear,shoes,brown,women,casual
44187,nike fragrances women 5th element perfume 150 ml,personal care,fragrance,white,women,casual
21510,kiara women graphiti white handbag,accessories,bags,white,women,casual
51667,louis philippe men grey sunglasses,accessories,eyewear,grey,men,casual
22395,mark taylor men striped blue shirt,apparel,topwear,blue,men,casual
35322,fabindia women anusuya silver earrings,accessories,jewellery,silver,women,ethnic
6425,lotto unisex canvas black check shoe,footwear,shoes,black,unisex,casual
18806,peter england men casual tan belt,accessories,belts,tan,men,casual
23247,arrow men formal black shoe,footwear,shoes,black,men,formal
17072,lino perros women weaved  grey belt,accessories,belts,grey,women,casual
31782,lee women paula blue top,apparel,topwear,blue,women,casual
42270,vans unisex black  grey classic shoes,footwear,shoes,black,unisex,casual
12500,united colors of benetton men short black shirts,apparel,topwear,black,men,casual
26735,reebok men pack of 2 pirates of the caribbean deos,personal care,fragrance,black,men,casual
30650,nike men printed black tshirt,apparel,topwear,black,men,casual
56026,colorbar soft touch mousse lipstick 025,personal care,lips,brown,women,casual
21948,murcia women casual brown handbag,accessories,bags,brown,women,casual
32563,only women directoire blue trousers,apparel,bottomwear,blue,women,casual
58980,colour me women flowers deo,personal care,fragrance,pink,women,casual
40143,gini and jony girls pretty blossom blue top,apparel,topwear,blue,girls,casual
10633,carlton london men formal brown formal shoes,footwear,shoes,brown,men,formal
24406,vishudh women red printed kurta,apparel,topwear,red,women,ethnic
4716,adidas unisex response st analogue black watch,accessories,watches,black,unisex,sports
21174,soliver women stripes beige top,apparel,topwear,beige,women,casual
15341,nike women solid pink shorts,apparel,bottomwear,pink,women,sports
52486,red rose maroon camisole,apparel,innerwear,maroon,women,casual
53554,probase multicoloured printed boxers,apparel,innerwear,multi,men,casual
14293,classic polo men stripes blue tshirts,apparel,topwear,blue,men,casual
47366,baggit women blue bag,accessories,bags,blue,women,casual
6041,ucb mens polo neck with lion logo navy blue tshirt,apparel,topwear,navy blue,men,casual
23623,doodle kids girls pink i love shopping top,apparel,topwear,pink,girls,casual
17416,lotto men atlantica black sports shoe,footwear,shoes,black,men,sports
9835,little miss women printed grey tshirt,apparel,topwear,grey,women,casual
29319,adidas unisex chicago bulls red backpack,accessories,bags,red,unisex,casual
7193,jealous 21 women black jegging,apparel,bottomwear,black,women,casual
12958,adidas men sports black sports shoes,footwear,shoes,black,men,sports
27283,mother earth women magenta kurta,apparel,topwear,magenta,women,ethnic
30234,numero uno men black flip flops,footwear,flip flops,black,men,casual
9009,murcia women snake print bag brown handbags,accessories,bags,brown,women,casual
3533,myntra mens if you dont like navy blue tshirt,apparel,topwear,navy blue,men,casual
42614,estelle women earrings  pendant set,accessories,jewellery,gold,women,casual
12164,aurelia women voile orange dupatta,apparel,topwear,orange,women,ethnic
26351,dkny women white dial watch ny8472,accessories,watches,white,women,casual
17624,adidas men solid navy blue track pant,apparel,bottomwear,navy blue,men,sports
47154,gini and jony girls black capris,apparel,bottomwear,black,girls,casual
35574,gliders men esquire red flip flops,footwear,flip flops,red,men,casual
46086,adidas women lavender hagkok sports shoes,footwear,shoes,lavender,women,sports
51031,enamor white bra,apparel,innerwear,white,women,casual
13284,gini and jony kids boys solid black shorts,apparel,bottomwear,black,men,casual
54543,f sports men white outlander sports shoes,footwear,shoes,white,men,casual
55491,revlon gold dust poussiere doree colorburst lip gloss 024,personal care,lips,brown,women,casual
26163,john miller men dark grey trousers,apparel,bottomwear,grey,men,formal
3701,tantra women flower heart black long tshirt,apparel,topwear,black,women,casual
29917,police men white dial watch pl12698js,accessories,watches,white,men,casual
42426,aurelia women sea green kurta,apparel,topwear,sea green,women,ethnic
32751,fila men liga ii black shoes,footwear,shoes,black,men,casual
56214,estelle women gold earrings,accessories,jewellery,gold,women,casual
10401,jealous 21 women uaine purple tops,apparel,topwear,purple,women,casual
40371,tokyo talkies women navy slim fit jeans,apparel,bottomwear,navy blue,women,casual
21346,pal zileri men casual gold frame sunglasses,accessories,eyewear,gold,men,casual
45603,arrow men black formal shoes,footwear,shoes,black,men,formal
4524,puma mens yugorun black white shoe,footwear,shoes,black,men,sports
37223,united colors of benetton women blue top,apparel,topwear,blue,women,casual
53766,puma men white and navy blue tshirt,apparel,topwear,white,men,casual
25520,doodle kids girls city chic white top,apparel,topwear,white,girls,casual
32597,only women black top,apparel,topwear,black,women,casual
58974,colour me men gold deo,personal care,fragrance,gold,men,casual
33445,baggit women lamboo mayur black wallet,accessories,wallets,black,women,casual
57100,elle women dark pink top,apparel,topwear,pink,women,casual
36137,nike women free run pink sports shoes,footwear,shoes,pink,women,sports
41859,estd 1977 men black sandals,footwear,sandal,black,men,casual
21180,adidas men adi cells black flip flops,footwear,flip flops,black,men,casual
39943,gas men brown count casual shoes,footwear,shoes,brown,men,casual
52472,red rose women white  pink polka dot print bath robe,apparel,loungewear and nightwear,pink,women,casual
58148,puma unisex white cap,accessories,headwear,white,unisex,casual
20052,united colors of benetton women yellow muffler,accessories,mufflers,yellow,women,casual
5630,adidas womens adi groove blue flip flop,footwear,flip flops,blue,women,casual
44517,coolers men brown pokar flip flops,footwear,flip flops,brown,men,casual
47392,baggit women beige bag,accessories,bags,beige,women,casual
50325,aurelia women navy blue kurta,apparel,topwear,navy blue,women,ethnic
8913,puma men cabana racer sketch white sports shoes,footwear,shoes,white,men,sports
16530,locomotive men check red shirt,apparel,topwear,red,men,casual
22705,nike men white capri ii casual shoe,footwear,shoes,white,men,casual
7167,scullers men scul purple white shirt,apparel,topwear,purple,men,casual
46240,fusion beats women white printed tunic,apparel,topwear,white,women,casual
27277,mother earth women blue kurta,apparel,topwear,green,women,ethnic
13042,inc 5 women brown heels,footwear,shoes,brown,women,casual
6889,forever new women stone cream jacket,apparel,topwear,cream,women,casual
31312,w women peach kurta,apparel,topwear,peach,women,ethnic
12190,basics men blue slim fit checked shirt,apparel,topwear,blue,men,casual
55657,catwalk women golden wedges,footwear,shoes,gold,women,casual
19578,united colors of benetton women solid purple top,apparel,topwear,purple,women,casual
27879,scullers for her women blue top,apparel,topwear,blue,women,casual
34452,rocia women copper sandals,footwear,shoes,copper,women,casual
6287,classic polo mens swiss yellow tshirt,apparel,topwear,yellow,men,casual
7355,tantra mens black sabbath navy tshirt,apparel,topwear,navy blue,men,casual
46072,lino perros men black leather belt,accessories,belts,black,men,casual
22537,gas men eldorado tan casual  sandals,footwear,sandal,tan,men,casual
28831,enamor women pack of 3 midrise bikini brief,apparel,innerwear,brown,women,casual
43500,french connection men white tshirt,apparel,topwear,white,men,casual
2627,carlton london women wedge silver sandal,footwear,shoes,silver,women,casual
27045,yelloe off white fur zip clutch,accessories,bags,off white,women,casual
13270,palm tree kids girls printed white tops,apparel,topwear,white,women,casual
18698,hanes men grey ultimate duo dry cotton stretch bikini briefs,apparel,innerwear,grey,men,casual
55465,revlon super lusterous lipstick 304,personal care,lips,red,women,casual
26197,formula 1 go men perfume,personal care,fragrance,green,men,casual
31120,palm tree girls pink top,apparel,topwear,pink,girls,casual
25712,adidas unisex blue cap,accessories,headwear,blue,unisex,sports
11527,united colors of benetton men olive tshirts,apparel,topwear,olive,men,casual
14869,united colors of benetton men solid black wallets,accessories,wallets,black,men,casual
40385,tokyo talkies women yellow top,apparel,topwear,yellow,women,casual
15187,arrow sport men solid white polo tshirts,apparel,topwear,white,men,casual
5402,kalenji ekiden 200 wn purple 2011,footwear,shoes,purple,women,sports
44725,lotto women coral elegant flip flops,footwear,flip flops,orange,women,casual
14055,flying machine men check green shirts,apparel,topwear,green,men,casual
20260,wrangler men applique navy blue tshirt,apparel,topwear,navy blue,men,casual
7731,puma mens winglet ii grey yellow white flip flop,footwear,flip flops,grey,men,casual
22153,lee cooper men brown casual sandals,footwear,sandal,brown,men,casual
43958,puma men olive techno ind sandal,footwear,sandal,olive,men,casual
28469,urban yoga women printed pink tshirt,apparel,topwear,pink,women,casual
50573,chromozome men charcoal trunk trunks,apparel,innerwear,charcoal,men,casual
34036,palm tree boys check blue shirt,apparel,topwear,blue,boys,casual
55001,lakme absolute lip last day kiss lip colour,personal care,lips,pink,women,general
8779,indigo nation men club satin hot stepper navy blue shirt,apparel,topwear,navy blue,men,casual
3391,murcia women white with stitch bag,accessories,bags,white,women,casual
43164,fastrack men black watch,accessories,watches,black,men,casual
2243,adidas men stripe polo white polo tshirt,apparel,topwear,white,men,sports
30496,lovable women fiona purple bra,apparel,innerwear,purple,women,casual
27421,jockey women blue lounge pants,apparel,loungewear and nightwear,blue,women,casual
57756,lotus herbals neem  clove purifying face wash,personal care,skin care,green,women,casual
33213,sepia women printed magenta top,apparel,topwear,magenta,women,casual
39729,arrow woman olive top,apparel,topwear,olive,women,casual
25376,levis men grey innerwear tshirt,apparel,innerwear,grey,men,casual
11143,scullers men price catch black shirts,apparel,topwear,black,men,casual
56684,fabindia beige  maroon mull printed saree,apparel,saree,beige,women,ethnic
4988,gini and jony girls vanya white polka dot kidswear,apparel,dress,white,women,casual
44341,indian terrain men blue tshirt,apparel,topwear,blue,men,casual
14431,enroute women casual black flats,footwear,shoes,black,women,casual
20604,baggit women umbrella dum brown handbag,accessories,bags,brown,women,casual
52224,lencia grey swarovski pearl necklace,accessories,jewellery,silver,women,casual
45293,casio sheen women red dial watch sx017,accessories,watches,red,women,casual
36761,maxima men black watch,accessories,watches,black,men,casual
33021,mother earth women printed cream kurta,apparel,topwear,cream,women,ethnic
25144,lino perros women leatherite orange handbag,accessories,bags,orange,women,casual
11371,united colors of benetton men summer black shirts,apparel,topwear,black,men,casual
41401,wrangler women white smocked top,apparel,topwear,white,women,casual
14603,united colors of benetton men pack of 2 grey socks,accessories,socks,grey,men,casual
37481,esprit women white dial watch,accessories,watches,white,women,casual
5254,wildcraft unisex red duffle bag,accessories,bags,red,unisex,casual
44173,nike fragrances women trendy perfume 75ml,personal care,fragrance,pink,women,casual
25978,jdel pozo halloween kiss sexy women perfume,personal care,fragrance,pink,women,casual
4386,wrangler cowboy photo tshirt,apparel,topwear,grey,men,casual
51693,van heusen unisex brown sunglasses,accessories,eyewear,brown,unisex,casual
16154,enroute men leather black formal shoes,footwear,shoes,black,men,formal
22361,reebok men navy twist sandals,footwear,sandal,navy blue,men,casual
29789,basics men pack of 3 tshirt,apparel,topwear,pink,men,casual
19920,wildcraft unisex black outdoor backpack,accessories,bags,black,unisex,casual
7503,nike mens as icon blue tshirt,apparel,topwear,blue,men,sports
46624,rasasi men emotion deo and perfume set,personal care,fragrance,grey,men,casual
34204,proline men navy track pants,apparel,bottomwear,navy blue,men,casual
17086,lino perros women blue zip orange wallet,accessories,wallets,orange,women,casual
50741,red chief men black shoes,footwear,shoes,black,men,casual
55233,lakme nine to five flawless makeup shell foundation,personal care,makeup,skin,women,casual
13426,united colors of benetton men stripes red  polo tshirts,apparel,topwear,red,men,casual
43356,reebok women charcoal grey fuel techno sports shoes,footwear,shoes,charcoal,women,sports
28207,rayban men active lifestyle black sunglasses,accessories,eyewear,black,men,casual
13846,john miller men stripes blue shirts,apparel,topwear,blue,men,casual
12994,adidas kids boys duramo synthetic black sports shoes,footwear,shoes,black,boys,sports
46278,109f women red  white striped tunic,apparel,topwear,red,women,casual
16508,locomotive men washed blue jeans,apparel,bottomwear,blue,men,casual
18492,puma men danny blue slipper,footwear,flip flops,blue,men,casual
19540,united colors of benetton men solid blue sweater,apparel,topwear,blue,men,casual
7963,puma mens large logo graphic white french tshirt,apparel,topwear,white,men,sports
8117,fastrack men new analog black navy watch,accessories,watches,black,men,casual
49230,calzini men pack of 5 sports socks,accessories,socks,black,men,casual
39147,aneri women purple salwar suit,apparel,apparel set,purple,women,ethnic
36933,bulgari women omnia perfume,personal care,fragrance,purple,women,casual
57138,elle women brown trousers,apparel,bottomwear,brown,women,casual
20856,united colors of benetton men casual black shoes,footwear,shoes,black,men,casual
41861,estd 1977 men black sandals,footwear,sandal,black,men,casual
5608,adidas men kendall black navy floater,footwear,sandal,black,men,casual
58170,rocky s women red clutch,accessories,bags,red,women,casual
53598,qq men black digital watch,free items,free gifts,black,men,sports
15983,turtle solid men  burgundy shirt,apparel,topwear,burgundy,men,casual
39375,helix women silver dial watch,accessories,watches,silver,women,casual
14851,united colors of benetton women solid coffee brown wallets,accessories,wallets,coffee brown,women,casual
59290,titan men black dial watch,accessories,watches,black,men,casual
52678,morellato men black watch,accessories,watches,black,men,casual
20258,wrangler men polo charcoal tshirt,apparel,topwear,brown,men,casual
47198,franco leone men brown sandals,footwear,sandal,brown,men,casual
27841,bulchee men plain jeans white belt,accessories,belts,white,men,casual
28035,jockey elance men grey melange y front briefs 1006,apparel,innerwear,grey melange,men,casual
31924,fabindia women black silk handbag,accessories,bags,black,women,casual
26993,jealous 21 women washed blue jeans,apparel,bottomwear,blue,women,casual
13248,palm tree kids boy solid brown trousers,apparel,bottomwear,brown,men,casual
43538,french connection women blue top,apparel,topwear,blue,women,casual
8325,doodle boys athletic 77 dept yellow teen kidswear,apparel,topwear,yellow,boys,casual
31118,gini and jony girls red top,apparel,topwear,red,girls,casual
19772,adidas men vigor blue casual shoes,footwear,shoes,blue,men,casual
46876,lino perros men pack of 2 socks,accessories,socks,grey,men,casual
5862,adidas mens stripe black tshirt,apparel,topwear,black,men,casual
39711,adidas original men black dial chronograph watch adh2641,accessories,watches,black,men,casual
14409,enroute women casual white heels,footwear,shoes,white,women,casual
58726,puma men grey tshirt,apparel,topwear,grey,men,casual
44379,adidas men intense touch  perfume,personal care,fragrance,black,men,casual
11947,ganuchi men casual olive sandals,footwear,sandal,olive,men,casual
36759,maxima men white dial watch,accessories,watches,white,men,casual
51499,denizen women blue jeans,apparel,bottomwear,blue,women,casual
29583,puma women grace silver sandals,footwear,shoes,silver,women,casual
55805,sdl by sweet dreams women pink  black printed night suit s113134,apparel,loungewear and nightwear,pink,women,casual
7709,jealous 21 womens aaren black jegging,apparel,bottomwear,black,women,casual
28451,urban yoga women black track pants,apparel,bottomwear,black,women,casual
43960,indigo nation men grey striped shirt,apparel,topwear,grey,men,formal
8741,indigo nation men checks shirt navy blue shirts,apparel,topwear,navy blue,men,casual
55039,lakme absolute matte merlot lipstick 45,personal care,lips,brown,women,casual
19316,nike unisex hayward 25m grey backpack,accessories,bags,grey,unisex,casual
27419,jockey women black lounge pants,apparel,loungewear and nightwear,black,women,casual
34832,adidas men sukoi white sports shoes,footwear,shoes,white,men,sports
23885,fila men grey hex sports shoes,footwear,shoes,grey,men,sports
19918,wildcraft unisex black backpack,accessories,bags,black,unisex,casual
22359,john players men check blue shirt,apparel,topwear,blue,men,casual
19124,lotto women xl kelly pink slippers,footwear,flip flops,pink,women,casual
16950,image men sunglasses,accessories,eyewear,brown,men,casual
49654,mineral women grey skirt,apparel,bottomwear,grey,women,casual
48786,lucera women silver pendant,accessories,jewellery,silver,women,casual
2049,adidas mens slim fit white tshirt,apparel,topwear,white,men,sports
17882,levis men comfort style white innerwear vest,apparel,innerwear,white,men,casual
44977,maxima men silver dial attivo watch,accessories,watches,silver,men,casual
33019,mother earth women printed yellow kurta,apparel,topwear,yellow,women,ethnic
41439,lee cooper men black sports shoes,footwear,shoes,black,men,sports
39523,peter england unisex black one dayer black trolley bag,accessories,bags,black,unisex,casual
52812,jag men black leather wallet,accessories,wallets,black,men,casual
11349,lee men blue chicago fit jeans,apparel,bottomwear,blue,men,casual
24892,united colors of benetton men black tshirt,apparel,topwear,black,men,casual
58514,tonga women grey top,apparel,topwear,grey,women,casual
33825,puma women kuris silver  grey sports shoes,footwear,shoes,silver,women,sports
25940,femella women yellow  blue scarf,accessories,scarves,yellow,women,casual
38637,nike men red delhi tshirt,apparel,topwear,red,men,casual
5896,puma men cavallino black shoe,footwear,shoes,black,men,casual
4944,gini and jony boys kaleb white brown infant kidswear,apparel,topwear,white,men,casual
10861,wrangler men dirt riders white tshirts,apparel,topwear,white,men,casual
59600,fnf rust wedding collection sari,apparel,saree,rust,women,ethnic
42846,french connection women multi stripe hand bag,accessories,bags,multi,women,casual
35128,allen solly woman purple bangle,accessories,jewellery,purple,women,casual
47508,facit men black brief,apparel,innerwear,black,men,casual
54923,do u speak green girls olive 34 pant,apparel,bottomwear,olive,girls,casual
43994,police women passion deo,personal care,fragrance,pink,women,casual
17278,us polo assn men printed  steeple grey tshirt,apparel,topwear,grey,men,casual
31588,mark taylor men printed maroon tshirt,apparel,topwear,maroon,men,casual
49492,vans men maroon  grey era shoes,footwear,shoes,maroon,men,casual
18230,manchester united men printed white tshirt,apparel,topwear,white,men,casual
23871,adidas men grey striped tshirt,apparel,topwear,grey,men,casual
9667,indigo nation men bling red black shirts,apparel,topwear,purple,men,casual
16198,puma men poly knitted black tracksuit,apparel,bottomwear,black,men,sports
3953,jealous 21 womens red peace tshirt,apparel,topwear,red,women,casual
